,origins,manufacturing_places,purchase_places
62372,Ecuador,"[FABRICANTE}, Ecuador, [DISTRIBUIDOR], Massanassa, Valencia (provincia), Comunidad Valenciana, España","Madrid,España"
62374,Ecuador,"[FABRICANTE},Ecuador,[DISTRIBUIDOR],Massanassa, Valencia (provincia), Comunidad Valenciana, España","Madrid,España"
62427,Thailand,Thailand,"NSW,Australia"
62693,,"Ravens Oak Dairy,Nantwich,Cheshire,England,United Kingdom","Liverpool,United Kingdom"
62926,"United Kingdom,New Zealand",United Kingdom,"Liverpool,United Kingdom"
62939,,Thaïlande,"France,Royaume-Uni"
63053,,Royaume-Uni,"France,Royaume-Uni,Paris,Londres"
63314,,Royaume-Uni,"Royaume-Uni,France,Paris"
63327,,Netherlands,Maroc
63336,,Italie,"France,Londres,Royaume-Uni"
63366,"Royaume-Uni,Écosse",Royaume-Uni,"Royaume-Uni,France,Paris"
63739,,Royaume-Uni,"Royaume-Uni,Londres,Angleterre"
63879,Estero,Italia,Carmagnola (TO)
63883,,Royaume-Uni,France
63961,,United Kingdom,France
63990,Turkey,United Kingdom,"United Kingdom,Liverpool"
64361,,Thailand,USA
64410,,Thailand,"San Francisco,California,USA"
64411,,Thailand,"San Francisco,California,USA"
64412,,Thailand,"San Francisco,California,USA"
64503,,United States,"Chesapeake,Virginia,United States"
64539,,USA,"Punaauia,Polynésie française"
64659,,Royaume-Uni,"France,Paris"
64660,Royaume-Uni,Royaume-Uni,"Royaume-Uni,France"
64734,"Royaume-Uni,Hors Royaume-Uni",Royaume-Uni,"France,Royaume-Uni"
64740,,Royaume-Uni,"Royaume-Uni,Londres"
64917,United Kingdom,Londom,United Kingdom
64922,,Royaume-Uni,"Royaume-Uni,France"
64951,Porc du Royaume-Uni,Royaume-Uni,"France,Paris"
66021,,Italy,"San Francisco,California,USA"
66130,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
66131,ESTADOS UNIDOS,ESTADOS UNIDOS,"MEXICO,WALMART"
