,origins,manufacturing_places,purchase_places
480428,,France,France
480431,,France,"Courrières,France"
480464,,France,"Le Pont de Beauvoisin,Savoie,Rhone Alpes,France"
480467,Philippines,France,Cavaillon
480514,,France,France
480518,,France,"Rouen,France"
480519,,France,"Marseille,France"
480583,Chine,France,"Les Lilas,France,Rouvroy"
480594,,"Hangzhou Green Home Food Co. - LTD - Chao Yang Village - Shu Shan Street - Xiaoshan,Hangzhou,Zhejiang,Chine","Pont-de-Metz,France"
480597,,"Hangzhou Green Home Food Co. - LTD - Chao Yang Village - Shu Shan Street - Xiaoshan,Hangzhou,Zhejiang,Chine","Pont-de-Metz,France"
480608,,Thaïlande,Noyon
480610,,Thaïlande,Noyon
480619,France,France,France
480620,France,France,France
480621,"France,Eure et Loir","Bruno Debray - Les Petites Guinières,28480 La Croix-du-Perche,Eure-et-Loir,Centre,France",France
480622,"France,Eure et Loir","Bruno Debray - Les Petites Guinières,28480  La Croix-du-Perche,Eure-et-Loir,Centre,France",France
480634,Algérie,"Algérie,Tolga","Courrières,France"
480647,,France,France
480664,,"France,Rochefort du Gard","Marseille,France"
480670,,France,"Lens,France"
480720,,Maussane les Alpilles,France
480783,,"France,Sud Ouest","Melun,France"
480790,,France,"Lyon,France"
480791,France,France,"Lyon,France"
480806,Union européenne,France,"Lyon,France"
480807,France,France,"Lyon,France"
480808,Union européenne,France,"Lyon,France"
480809,"Union européenne,Nouvelle-Zélande",France,"Lyon,France"
480812,,France,"Lyon,France"
480821,France,France,"Lyon,France"
480822,France,France,"Lyon,France"
480824,France,France,"Lyon,France"
480844,,France,"Dax,France"
480845,,"Deux-Sèvres,Nouvelle-Aquitaine,France","Niort,France"
480864,,France,France
480867,France,France,France
480868,France,"Amplepuis,France","Amplepuis,France"
480873,"France,Nord","France,Nord,62055 Saint Laurent Blangy",France
480875,France,"Nord Pas-de-Calais,France","Courrières,France"
480878,France,France,"Hénin-Beaumont,France"
480879,France,"110 allée du Vélodrome,ZAC des Rosati,62055,Saint Laurent Blangy,France",France
480881,France,France,France
480885,,"Drôme,France","Die,France"
480886,,"Drôme,France","Die,France"
480887,,"Drôme,France","Die,France"
480888,,"Drôme,France","Die,France"
480890,,"Drôme,France","Die,France"
480891,,"Drôme,France,rhône-alpes","Drôme,France"
480908,inconnue,inconnu,France
480909,Terroir Méditerranéen. Produit de Tunisie et Italie,Non indiqué,France
480911,,Tunisie,"France,Trignac"
481008,,Guadeloupe,Guadeloupe  France
481022,Seine-et-Marne,Villeneuve-sur-Bellot,France
481110,Indonésie,saint hilaire,France
481115,,Ateliers Bio de Provence : 150 Allée Bellecour F-84200 Carpentras,"France,Aix-en-Provence"
481119,,"84200,Carpentras,Provence,France","Paris,France"
481120,,"Carpentras,France","Paris,France"
481126,,"France,Carpentras,84200,Provence","Paris,France"
481137,,"Ateliers Bio de Provence,Carpentras,France","France,Aix-en-Provence, Paris"
481138,,France,"France,Aix-en-Provence"
481141,,"France,84200,Carpentras,Provence","Paris,France"
481143,,"84200,France,Carpentras","Paris,France"
481144,,"Provence,Carpentras,Vaucluse,France",Paris
481145,,"France,Carpentras,84200,Provence,Vaucluse","Paris,France"
481146,,"Provence,France",Paris
481147,,"France,Carpentras,84200,Provence","Paris,France"
481148,,"Provence,France,84200,Carpentras","Paris,France"
481149,,"Carpentras,Vaucluse,Provence,France",Paris
481152,"Ardèche,France","Vedène,Vaucluse,Provence,France","Paris,France"
481154,,"Provence,France,Vaucluse,Isle-sur-la Sorgue",Paris
481155,,"L'Isle-sur-la-Sorgue,Vaucluse,Provence,France","Paris,France"
481156,,"France,Provence,L'Isle-sur-la-Sorgue","Paris,France"
481157,,"Provence,France","Paris,France"
481159,,"Ardèche,France","Paris,France"
481171,France,"La Croisille sur Briance,  87130",France
481175,,"Hennebont,Morbihan,Bretagne,France","Hénin-Beaumont,France"
481195,,France,France
481221,Turquie,"Bretagne,France","Saint-Maur des Fossés,France"
481259,France,France,France
481292,"Sud-Ouest,France","La Fromagerie de la Lémance - ZA du Haut Agenais - 47500 Montayral,Lot-et-Garonne,Aquitaine,France","Alès,France"
481296,France,"France,Haute-Garonne",France
481311,"France,Normandie","Normandie,France",France
481314,"France,Agriculture France","Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France","Aix-en-Provence,France"
481338,Union Européenne,France,France
481341,Agriculture UE,"La Fromagerie de la Lémance - ZA du Haut Agenais - 47500 Montayral,Lot-et-Garonne,Aquitaine,France","Alès,France"
481345,France,"Coopérative Isigny Sainte-Mère - Rue de la Coopérative - 50480 Chef-du-Pont,Manche,Basse-Normandie,France","Alès,France"
481392,Suisse,"France,Champigny,51370",France
481393,Agriculture UE,"Yéo International [Filiale 3A Coop (Sodiaal)] - 183 Avenue des États-Unis - 31200 Toulouse,Haute-Garonne,France",France
481432,France,France,France
481460,Grèce,Metamorfosi Grèce,France
481475,,"Drôme,France","Hyères,France"
481628,,"France,Séez",France
481630,,"France,Séez",France
481631,,"France,Séez",France
481790,,"Vendée,France",France
481969,"Vercors,France","Vercors,France","Lyon,France"
481971,"Vercors,France","Vercors,France","Lyon,France"
482018,,"Loire,France","Saint-Etienne,France"
482019,,"Loire,France",France
482044,"Union Européenne,Hors Union Européenne",France,France
482045,France,France,France
482296,"France,Bretagne,Cotes d'Armor","France,Bretagne,Gouarec,Cotes d'Armor","Paris,France"
482298,"Rhône-Alpes,France","Saint Martin d'Hères,Isère,Rhône-Alpes,France","Saint Martin d'Hères,Isère,Rhône-Alpes,France"
482301,"Région grenobloise,France","Saint Martin d'Hères,Isère,Rhône-Alpes,France","Saint Martin d'Hères,Isère,Rhône-Alpes,France"
482305,,"Brasserie du Dauphiné,33 rue Champ Roman,Saint-Martin-d'Hères,France","Gap,05000,France"
482306,,Belgique,"France,Nantes"
482307,,Belgique,"Die,France"
482358,France,France,France
482360,France,France,France
482378,France,France,France
482379,,"Hollande,Pays-Bas",France
482457,Grèce,"Les Ardillats,France","Rillieux-la-Pape,France"
482467,,France,"Harnes,France"
482468,,France,"Rouvroy,France"
482470,,"Nord,France","Hénin-Beaumont,France"
482471,,France,"France,Courrières"
482584,France,"Nord Pas-de-Calais,France","Carvin,France"
482621,France,France,France
482623,France,France,"France,Nantes"
482625,France,France,France
482626,France,France,France
482627,"France,Union Européenne",France,France
482633,France,France,France
482634,France,France,France
482635,France,France,"France,Nantes"
482636,France,France,France
482637,france,France,"lux,france"
482638,France,France,France
482642,France,France,"France,Nantes"
482647,France,France,"lux,france"
482648,France,"Kermené (Filiale E.Leclerc) - Rue des Moulins - ZA de Vaucouleurs - 22980 Vildé-Guingalan,Côtes-d'Armor,Bretagne,France","Carvin,France"
482654,,France,"France,Nantes"
482655,France,"Kermené (Filiale E.Leclerc) - Rue des Moulins - ZA de Vaucouleurs - 22980 Vildé-Guingalan,Côtes-d'Armor,Bretagne,France","Saint-Priest,France"
482656,France,"Kermené (Filiale E.Leclerc) - Rue des Moulins - ZA de Vaucouleurs - 22980 Vildé-Guingalan,Côtes-d'Armor,Bretagne,France","Saint-Loup,France"
482659,,"Kermené (Filiale E.Leclerc) - Le Perey - 22330 Saint-Jacut-du-Mené,Côtes-d'Armor,Bretagne,France","Saint-Priest,Salouël,France"
482663,France,"Kermené (Filiale E.Leclerc) - Rue des Moulins - ZA de Vaucouleurs - 22980 Vildé-Guingalan,Côtes-d'Armor,Bretagne,France","Carvin,France"
482664,France,France,France
482666,France,France,"France,Nantes"
482708,France,France,France
482784,,"France,Eure et Loir",France
482911,France,France,France
482912,France,France,France
482949,Italie,Italie,France
482952,Italie,"Italie,43013 Langhirano","Bar-le-Duc,France"
482957,,Italie,France
482964,,Italie,Etampes
482982,,Italie,Etampes
483022,Océan Indien FAQ 51,Inde,"Marseille 5°,France"
483027,Océan Pacifique,Chine,Marseille 5°
483112,,france,France
483128,,France,"Rennes,France,Saint-Nazaire"
483134,,France,"Rennes,France"
483140,,"Vendée,France","France,Carquefou"
483141,,"Vendée,France","Lyon,France"
483144,,"Vendée,France","Lyon,France"
483173,Union Européenne,Vendée,Boufféré
483191,France,"Bretagne,France,Saint-Malo",France
483283,"Italie,Sicile",France,"France,Saint-Nazaire"
483289,Thaïlande,"Moulin de Beau-Rivage,Anjou,France","France,Saint-Nazaire"
483350,,France,"France,Saint-Nazaire"
483409,Normandie,76270 Fesques,"Drumettaz Clarafond,France"
483427,,76270 Fesques,"Drumettaz Clarafond,France"
483435,,"Auvergne,France",France
483437,,"Auvergne,France",France
483501,France,France,"Hénin-Beaumont,France"
483537,"France,Doubs",France,"Flers-en-Escrebieux,France"
483555,,St Just St Rambert,Rennes
483560,,St Just St Rambert,Rennes
483579,,"Guingamp,Bretagne,France","92130,France"
483604,,"Bretagne,France","92340,France"
483632,France,France,"Paris,France"
483648,,France,France
483651,,France,France
483662,France,France,France
483692,"Lorraine,France","Meurthe et Moselle,France","Verdun,France"
483754,"France,Nord",Epinay,"Marseille 5°,France"
483770,"Beaujolais,France","Beaujolais,France",France
483771,"Beaujolais,France","Beaujolais,France",France
483772,"Beaujolais,France","Beaujolais,France",France
483781,,"La ferme de La Madière,Guilleville,28310","Olivet,France"
483787,Vietnam,"CASTELNAUDARY,FRANCE","Pirae,Polynésie Française"
483788,Vietnam,"Castelnaudary,France","Pirae,Polynésie Française"
483793,,France,Paris
483794,France,France,France
483809,France,France,France
483825,"République Dominicaine,Pérou,Agriculture non-UE","Bordeaux,Gironde,France","Salernes,France"
483828,France,"Ets Schoepfer - 7 Avenue Fontcouverte - Zone Industrielle - 84000 Avignon,Vaucluse,Provence-Alpes-Côte d'Azur,Fromagerie Mulin (Filiale Sodagral) - Lieu dit Champs Breland - 25170 Noironte,Doubs,Franche-Comté,France","Aix-en-Provence,France"
483830,"France,Languedoc-Roussillon","France,Bages","France,Aix-en-Provence"
483833,"France,Lonlay l'abbaye","France,Lonlay l'Abbaye","France,Cournon d'Auvergne"
483834,France,la Biscuiterie de l'Abbaye - 61700 Lonlay l'Abbaye,"France,Aix-en-Provence"
483835,"Pérou,Paraguay,Amérique Latine,République Dominicaine","france,Châteauneuf du pape,Artisan chocolatier Castelain","France,Nîmes,valence"
483837,"Amérique Latine,Italie",France,"France,Trignac"
483838,légumes = Norabio (59) pour majorité,"Arras,Soup'Idéale","Paris France,Seynod"
483839,"France,UE","Arras,Soup'Idéale","Seynod,France"
483844,France,France,"Lyon,France"
483845,France,"France,Drôme","France,Feunouillet"
483855,"Amérique Latine,Pérou,République Dominicaine","France,Bordeaux","France,Trignac"
483858,"Pérou,République Dominicaine,Amérique Latine","Châteauneuf-du-Pape,France,Artisan chocolatier Castelain","France,Annecy"
483859,,"France,Bordeaux","France,Nantes"
483863,?,Haute-Saône,Bois-Colombes
483868,"Pérou,France,République Dominicaine",France,"Valence,Caen,France"
483881,France,France,"Aucamville,France"
483882,Espagne,"France,Maureilhan,Inno'vo",Paris
483885,"France,Italie","Revest-du-Bion,France","Paris,France"
483887,"France,Provence Alpes Côte d'Azur,Languedoc-Roussilon,Rhône-Alpes","Monteux,Vaucluse,France","Cournon d'Auvergne,France"
483889,"France,Alpes de haute provence","France,Revest-du-Bion","France,Aix-en-Provence"
483897,"France,Espagne,Italie,Lot-et-Garonne","France,Carpentras,Provence","Paris,France"
483903,France,France,France
483908,France,France,"France,Trignac"
483913,France,"Vertou,France",France
483915,"France,Pommes de France",France,"France,Trignac"
483916,"Amérique latine,Picardie,France,Haute-Normandie",Lonlay l'Abbaye,"Seynod,France"
483925,France,France,"France,Trignac,Nantes"
483930,"Lait collecté en France,sucre de canne issu du commerce équitable",Fabriqué en France par la Laiterie de Saint-Malo,Cholet
483932,,"France,Toulouse",France
483941,,Lonlay l'Abbaye (61700),"Tarbes,France"
483944,"France (Céréales),Amérique latine (sucre de canne et cacao)","Geudertheim,Bas-Rhin,France,Alsace Biscuits Tradition,67170","Seynod,France"
483945,"République dominicaine,,Amérique latine","Châteauneuf du Pape,France,artisan chocolatier Castelain","Annecy,France"
483950,"Lait origine France,France",France,France
483952,,France,France
483953,"France,Espagne,Burkina-Faso,Equateur","Inno'vo,Maureilhan,Hérault","Seynod,France"
483956,"France,Espagne,Burkina Faso,Equateur","Maureilhan,France",France
483958,France,France,"France,Trignac"
483965,France,"Monteux,France",France
483972,France,Ceyzériat France,France
483992,,France,France
484063,,France,"Amplepuis,France"
484073,,Espagne,"France,Trignac"
484074,,Espagne,Annemasse
484075,,France,"France,Noyelles-Godault"
484081,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484088,"Vanille,Madagascar","Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484089,,France,"Arcueil,France"
484090,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484092,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484098,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484100,"Vanille,Madagascar","Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484102,"Vanille,Madagascar","Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484104,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France","France,Carquefou"
484105,,"Société La Fermière (Filiale Groupe Tarpinian) - 375 Avenue du Passe-Temps - ZA Napollon - 13400 Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,France",France
484107,,France,"France,Trignac"
484114,,France,"France,Trignac"
484120,,France,"Gentilly,France"
484125,France,France,"Paris,France,Toulon"
484138,,France,"Villeurbanne,France"
484152,,Espagne,"Noyelles-Godault,France"
484176,,France,"France,Trignac"
484179,,France,"France,Toulon"
484181,"Riz,Camargue,France,Gousse de vanille,Madagascar","Festins de Sologne - Rue Léonard de Vinci - Parc d'Activités de Sologne Les Hauts Noirs - 41600 Lamotte-Beuvron,Loir-et Cher,Centre-Val de Loire,France",France
484183,,France,France
484184,,France,France
484209,France,France,"France,Nantes"
484219,,92100 Boulogne-Billancourt,France
484220,Equateur,Boulogne-Billancourt,France
484267,"Tibet,non Union Européenne,région du Cinghal,hauts plateaux tibétains",France,"France,Noyelles-Godault"
484281,Philippines,"France,Provence","Aubagne,Papeete"
484308,,"France,Belle Ile en Mer","Le Palais,France,Belle Ile en Mer"
484365,,"Marseille,France",Marseille 5°
484369,,France,"Marseille 5°,France"
484376,,"SARL Alfagel,Min des Arnavaux,13014,Marseille,France","05400,Veynes,France"
484378,,"Marseille,France","Marseille 5°,France"
484381,,France,"Marseille 5°,France"
484382,,"Marseille 14°,France","Marseille 5°,France"
484392,,"Marseille 13014,France","Marseille 5°,France"
484393,,"Marseille 14°,France","Marseille 5°,France"
484400,,"Marseille 14°,France",Marseille 5°
484521,France,France,"Courrières,France"
484573,,"Corse,France",France
484660,"France,Lorraine","21190,Merceuil,Côte-d'Or,Bourgogne,France","Blois,France"
484689,"Abricots orangered,France","Coopérative Agricole Fruitière Maraîchère La Melba - La Melba - Rue du Levant - 66530 Claira,Pyrénées-Orientales,Languedoc-Roussillon,France","Flers-en-Escrebieux,France"
484734,,"France,Aveyron,Marcillac-Vallon,12330","France,Nauviale"
484741,France,France,France
484781,France,france,"Beaufort,France,saint-ouen"
484838,,France,"France,Trignac"
484855,France,"France,Normandie","Courrières,France"
484971,"Dijon,Bourgogne",Dijon,Dijon
485052,,France,"Rennes,France"
485053,,France,"Rennes,France"
485054,France,France,"Rennes,France"
485057,"France,sud de France",sud de France,Carpentras France
485071,,67210 goxwiller,42390 Villars
485085,,ROLDI - 26 rue de Bourgheim - 67210 GOXWILLER,"France,Annecy"
485225,,Espagne,Orléans
485291,,saint Armel,France
485358,,France,"Lyon,France"
485359,France,France,"Lyon,France"
485543,France,France,"Légny,France"
485553,"Pommeau de Normandie,France","FROHN Marc (Fromagerie Maître Pennec),14130 Saint-Benoît-d'Hébertot,Calvados,Basse-Normandie,France",France
485568,,"Beaujolais,France","Lyon,France"
485689,,"Festins de Sologne - Rue Léonard de Vinci - Parc d'Activités de Sologne Les Hauts Noirs - 41600 Lamotte-Beuvron,Loir-et Cher,Centre-Val de Loire,France",France
485691,,"Festins de Sologne - Rue Léonard de Vinci - Parc d'Activités de Sologne Les Hauts Noirs - 41600 Lamotte-Beuvron,Loir-et Cher,Centre-Val de Loire,France",France
485692,France,92200 Neuilly-sur-Seine,"Avon,France"
485773,,France,"Lyon,France"
485787,France,France,"Asnières sur seine,France"
485824,,France,"Rennes,France"
485826,,"France,Douai","Rennes,France"
485827,,France,"Lyon,France"
485842,,"France,Bretagne",France
485965,AOC piment d'Espelette,64480 Ustaritz France,Espelette France
486281,,"Poligny,Jura,France","Pleure,France"
486282,,"Poligny,Jura,France","Pleure,France"
486296,,France,"France,Aix-en-Provence"
486377,,France,"Courrières,France"
486451,France,Matha,France
486525,"France,Cantal,Pléaux,Zone naturelle",Village d' Enchanet 15700,Enchanet Cantal France
486543,,"Gendreau - 84 Route des Sables - 85800 Saint-Gilles-Croix-de-Vie,Vendée,Pays de la Loire,France","Saint-Gilles-Croix-de-Vie,France"
486667,France,saillant,France
486790,Hors Union Européenne,France,"Saint-Céré,France"
486799,"Turquie,Israël,Espagne,Iran",France,"Saint-Céré,France"
486812,France,"ACBB - Lieu dit La Fontaine du Bois - D 23 - 02000 Chavignon,Aisne,Nord-Pas-de-Calais-Picardie,France","Villers Bocage 80260,France,Villers-Bocage"
486816,,France,"Carvin,France"
486854,France,France,"France,Nantes"
486861,,France,"France,Orvault"
486959,France,"Loeuf - 2 A Les Hogues,72650 La Bazoge,Sarthe,Pays de la Loire,Pampr'oeuf Distribution - Les Brélières BP 6,79800 Pamproux,Deux-Sèvres,Poitou-Charentes,France","Villers Bocage 80260,France"
486960,France,"Loeuf - 2 A Les Hogues - 72650 La Bazoge,Sarthe,Pays de la Loire,Pampr'oeuf Distribution - Les Brélières - 79800 Pamproux,Deux-Sèvres,Poitou-Charentes,France","Villers Bocage 80260,France"
486963,verger de Montdragon 81440,Montdragon,"montdragon,France"
487055,France,france,besançon
487062,France,France,france
487066,,Bretagne,"Paris,Maison-Laffitte"
487091,,Saint Romain La Motte,France
487121,Union Européenne,"Aveyron,France","France,Fonsorbes"
487122,Union européenne,"Aveyron,France","Lyon,France"
487126,France,France,France
487156,,France,"France,Trignac"
487159,,Italie,"Noyelles-Godault,France"
487196,"Manakara,Madagascar",MADAGASCAR,"ANTANANARIVO,MADAGASCAR"
487197,MADAGASCAR,MADAGASCAR,"ANTANANARIVO,MADAGASCAR"
487218,"Manakara,Madagascar",MADAGASCAR,"ANTANANARIVO,MADAGASCAR"
487226,,Pérou/Mexique,France
487257,France,Dessert Romanf,France
487369,,"Vallet,Loire-Atlantique,France","Toulouse,France,Rennes"
487371,,France,"Paris,France"
487383,Madagascar,France,"Paris,France"
487443,,France,"France,Le MANS"
487482,MADAAGSCAR,MADAGASCAR,"ANTANANARIVO,MADAGASCAR"
487483,MADAGASCAR,MADAGASCAR,"ANTANANARIVO,MADAGASCAR"
487607,France,France,France
487682,France,"Peaugres,France","Lyon,France"
487683,,Ardèche,"Balan,La Valbonne,France"
487692,,France,France
487695,,"28310 Janville,France,SIRET:50292362600019",France
487696,France,France,"Bonneuil-sur-Marne,France"
487903,Iran,"Meyreuil,France","Hérouville Saint Clair,France"
488194,"Finlande,France",agen,France
488264,,Vitré,Tours
488297,,"Bassignac,France",France
488392,Norvège,"Boulogne-sur-Mer,Pas-de-Calais,France","Noyelles-Godault,France"
488416,France,France,"France,Rillieux-la-Pape,Annecy"
488418,"Madagascar,Île de Java","Rêve de Choc,Minzier,France","Annecy,France"
488434,,france,France
488489,France,France,France
488490,,"France,Sud de la France",France
488491,,France,France
488494,France,france,Belgique
488566,,"Savoie,France","Les Marches 73800,France"
488591,,France,France
488727,,bourgogne,France
488773,Chine,France,France
488774,Chine,France,France
488867,Lozère,ZAE 48000 le Chastel Nouvel,France
489036,,France,"Flers-en-Escrebieux,France"
489042,,France,Paris
489185,,France,"Belgique,Bruges"
489189,,France,France
489201,,France,France
489226,,France,"Belgique,Bruges"
489310,,France,"Tulette,France"
489375,,cavaillon,France
489493,France,France,"Carvin,France"
489525,,"Bretagne,France",France
489608,"France,Champagne","Reims,Marne,Grand Est,France",Paris
489629,France,74390 scientrier,France
489672,ferme,Durningen 67,France
489716,,France,"France,Noyelles-Godault"
489755,"France,Bretagne,Morbihan,Rohan","France,Bretagne,Morbihan,Rohan","France,Rennes"
489756,"France,Bretagne,Morbihan","France,Bretagne,Morbihan,Rohan","Rennes,France"
489757,"France,Bretagne,Morbihan,Rohan","France,Bretagne,Morbihan,Rohan","Rennes,France"
489760,"France,Bretagne,Fraise : Plougastel","France,Bretagne,Morbihan,Rohan","Rennes,France"
489761,France,"France,Bretagne,Morbihan,Rohan","Rennes,France"
489762,France,"France,Bretagne,Morbihan,Rohan",France
489763,"Pêches : Roussillon,France","France,Bretagne,Morbihan,Rohan","Rennes,France"
489764,"France,Bretagne","France,Bretagne,Morbihan,Rohan",France
489765,France,"France,Bretagne,Morbihan,Rohan","Rennes,France"
489767,"France,Bretagne","France,Bretagne,Morbihan,Rohan","Rennes,France"
489768,France,"france,bretagne,rohan","France,Bretagne"
489769,France,"France,Bretagne,Morbihan,Rohan","Rennes,France"
489771,"France,Plougastel","France,Bretagne,Morbihan,Rohan","Rennes,France"
489775,"France,Morbihan","France,Bretagne,Morbihan,Rohan","Rennes,France"
489776,"La Réunion,Morbihan,France","France,Bretagne,Morbihan,Rohan","Rennes,France"
489777,"Chocolat : St Domingue,Saint-Domingue","France,Bretagne,Morbihan,Rohan","Rennes,France"
489778,"France,Sel : Guérande","France,Bretagne,Morbihan,Rohan","Nantes,France"
489881,,Espagne,France
489911,France,31880 la Salvetat St Gilles,France
489927,,France,"Courrières,France"
489961,,France,france
489983,"Alpes,France",France,"Lens,France"
489988,,"France,Hautes-Alpes,SAS Poil à Gratter - ZAE Est - 05130 Tallard - France,SAS Poil à Gratter,Tallard","Montrouge,France"
490043,,Perigord,France
490135,,Marseille,"France,Aix en Provence"
490147,,"Initia Food,ZI les Danjons,Allée Evariste Galois,18000,Bourges,France","Rouvroy,France"
490199,,Epinay-sous-Semart,Brétigny-sur-Orge
490200,,Epinay-sous-Senart,Brétigny-sur-Orge
490204,,"Épinay-sous-Sénart,France","Île de France,France,Épinay-sous-Sénart"
490213,,"Spay,France,Sarthe,GAEC BIO AVENIR « La Fontaine »","Spay,Sarthe,France"
490218,Normandie,Normandie France,France
490219,,"Manche,Normandie,France,Le Visel","Douvres la Délivrande,France"
490220,50 Manche,"Manche,Normandie,France,Le Vicel","Douvres la Délivrande,France"
490221,"50 Manche,Normandie,France","Manche,Normandie,France,Le Vicel","Douvres la Délivrande,France"
490223,50 Manche,"Le Ham,Manche,Normandie,France","Douvres la Délivrande,France"
490224,"50 Manche,Normandie,France","Manche,Normandie,France,Le Vicel","Douvres la Délivrande,France"
490225,"50 Manche,Normandie,France","Le Vicel,Manche,Normandie,France","Douvres la Délivrande,France"
490226,50 Manche France,"Le Vicel,Manche,Normandie,France","Douvres la Délivrande,France"
490234,France,France,"Saint-Estève,France"
490243,France,France,"Laval,France"
490279,,France,"Miribel,France"
490303,"France,Beaucaire","France,Beaucaire",France
490382,Royaume-Uni,Royaume-Uni,France
490456,France,France,"Lens,France"
490521,,"Manche,Normandie,France","Caen,France"
490522,,"Manche,Normandie,France","Caen,France"
490526,,"Manche,Normandie,France","Caen,France"
490543,,Union européenne,"chalon-sur-saône,france"
490551,,France,"Paris,France"
490612,,"Saint Pierre d'Oléron,France","Dolus d'Oléron,France"
490676,Corse,France,France
490707,"Nord Pas-de-Calais,France","Nord Pas-de-Calais,France","Courrières,France"
490713,France,France,"Courrières,France"
490742,"Limousin,France",Limousin,France
490749,"France,Pyrénées",France,"Strasbourg,France"
490788,haute correze,latronche,France
490791,Espagne,Espagne,"Paris,France"
490795,Italie,France,"Paris,France"
490796,Espagne,Espagne,Orléans
490837,,France,"Barnet,London,UK"
490844,,France,"France,École Valentin"
491007,,chateau gontier,France
491147,Vietnam,Vietnam,"Harnes,France"
491157,,Thaïlande,"Noyelles-Godault,France"
491196,,France,"Noyelles-Godault,France"
491226,Madagascar,France,"Quiberon,France"
491395,France,Six Fours,France
491479,,"Saintes,BISCUITS DELICES SARL,France,Charente-Maritime,Poitou-Charente,17100",France
491531,Bretagne,"Bretagne,35,Bourg-des-Comptes,France","Nantes,France"
491586,"Océan Atlantique Nord-Est,Océan Atlantique,Ouest Écosse,Mer de Barents,Mers de Norvège,Mer du Nord,FAO N°27",France,France
491599,Val de Loire,Poitou-charentes,"Olivet,France"
491601,,"Les Jardins de l'Orbrie,79300,Bressuire,Deux-Sèvres,Nouvelle-Aquitaine,France","Orvault,France"
491605,"France,Val de Loire",France,France
491610,France,France,France
491724,"Lyonnais,France",France,France
491725,"France,Lyonnais",France,France
491730,France,"Mionnay,France","France,Balan"
491768,,"France,Le Neubourg","Paris,France,Marseille 5°"
491772,,France,France
491774,,"Castelsarrasin,Tarn-et-Garonne,Midi-Pyrénées,France","Harnes,France"
491786,"Labeyrie Traiteur Surgelés,27110 Le Neubourg,Eure,Haute-Normandie,France","Labeyrie Traiteur Surgelés (Filiale Labeyrie Fine Foods) - Route de Pont-de-l'Arche - ZA Le Clos-Mesnil,27110 Le Neubourg,Eure,Haute-Normandie,France","Vélizy,France,Fonsorbes"
491789,,"Le Neubourg,Eure,France",Marseille 5°
491792,,"Labeyrie Traiteur Surgelés (Filiale Labeyrie Fine Foods) - Route de Pont-de-l'Arche - ZA Le Clos-Mesnil,27110 Le Neubourg,Eure,Haute-Normandie,France","Vélizy,France"
491799,,France,"Harnes,France"
491801,,France,"Bollène,france"
491802,,France,France
491807,"Labeyrie Traiteur Surgelés,27110 Le Neubourg,Eure,Haute-Normandie,France","Labeyrie Traiteur Surgelés (Filiale Labeyrie Fine Foods) - Route de Pont-de-l'Arche - ZA Le Clos-Mesnil,27110 Le Neubourg,Eure,Haute-Normandie,France",France
491819,,France,"Etampes,France"
491829,,France,"Paris,France"
491835,"Etats-Unis,Argentine,Uruguay,Chili,Pérou,Mexique,Royaume-Uni,Île Féroe","Le Neubourg,Eure,Haute-Normandie,France","Harnes,France"
491843,,"France,Étupes",France
491844,Caraïbes,"France,Etupes",France
491847,,"Castelsarrasin,Tarn-et-Garonne,Midi-Pyrénées,France","Courrières,France"
491875,,France,"Courrières,France"
492031,France,France,France
492052,,France,France
492110,"Cavaillon,France",France,"France,Trignac"
492129,,Evere,Belgique
492231,France,Targon 33760,France
492244,Philippines,Philippines,"Caen,France"
492248,Philippines,Philippines,Marseille
492260,Philippine,"Philippines, Philippine","Caen,France"
492308,France,oise,France
