code,product_name,store_currency,price_per_100g,match_scores
3023290166666,La Laitière Feuilleté de Mousse,EURO,0.06269999999999999,0.9527777777777778
3023290170007,Petit Nesquik,EURO,0.07519999999999999,0.2142857142857143
3023290200711,Mousse de Viennois (4 Chocolat) Offre Eco,EURO,0.058899999999999994,0.8234126984126985
3023290200728,Mousse de Viennois Café,EURO,0.12390000000000001,0.5416666666666666
3023290401101,Nesquik Go!!,EURO,0.045899999999999996,0.5
3023290419663,"Ferme et Fondant (0 % MG, 0 % de Sucres ajoutés), Saveur Framboise (4 Pots)",EURO,0.0583,0.16984126984126985
3023290471500,"Ferme et Fondant, Chocolat Noir",EURO,0.1067,0.5621428571428572
3023290623466,La Laitière Secret de Mousse Chocolat au Lait (format familial),EURO,0.061900000000000004,0.825
3023290630990,Secret de Mousse Café Espresso (4 Pots),EURO,0.030299999999999997,0.30357142857142855
3023290633724,Crème dessert Craquante Saveur Vanille,EURO,0.0184,0.8266666666666665
3023290639221,Le viennois mousse,EURO,0.12390000000000001,0.47222222222222215
3023290719329,Clafoutis aux Pommes Façon Tatin,EURO,0.0788,0.96
3023290720417,Velours de Crème (Saveur Vanille),EURO,0.0184,0.6207142857142858
3023290797174,After Eight,EURO,0.1293,1.0
3023290797365,Crème brûlée,EURO,0.0482,0.7333333333333334
3023290798386,Ferme et Fondant Saveur Fraise des Bois,EURO,0.018799999999999997,0.671201814058957
3023290798591,Le Viennois (Compote Pomme),EURO,0.023399999999999997,0.5610119047619048
3023290798607,Le Viennois (Compote Pomme Banane),EURO,0.023399999999999997,0.6535714285714286
3023290798652,Mousse de Viennois (4 Caramel),EURO,0.058899999999999994,0.575
3023292259014,le viennois mousse,EURO,0.12390000000000001,0.47222222222222215
3023470010031,Sablé de Retz le Véritable,EURO,0.0625,0.7000000000000001
3027030004386,Sticks et Bretzels Ancel,EURO,,0.04999999999999999
3027030006472,Mug Cake Brownie Mon gâteau minute,EURO,0.048,0.32936507936507936
3027030008230,Mes 5 Gâteaux,EURO,,0.6205128205128205
3027030009596,Ancel Mon Brookie Brownie + Cookie,EURO,0.0737,0.7380952380952381
3027030033584,Ancel Priz Extra,EURO,0.0202,0.6785714285714285
3027030044627,Ma crème Pâtissière,EURO,0.0717,0.8666666666666667
3029330012672,Pain de Mie,EURO,0.011000000000000001,1.0
3029330022411,Pain de mie,EURO,0.011000000000000001,1.0
3029330065326,Double Burger nature,EURO,0.047,0.7777777777777778
3029330065883,Maxi Jac' Nature,EURO,0.0178,0.9166666666666666
3029330066484,Pain Burger Géant,EURO,0.0392,0.6
3033490167073,Danette Chocolat et Lait,EURO,,0.04999999999999999
3033490328252,Danette Saveur Chocolat-Noisette,EURO,,0.10588235294117647
3033490615451,"Jockey Aux Fraises (4,1 % MG)",EURO,0.037599999999999995,0.3511904761904763
3033490706678,Fromage blanc Taillefine noix de coco,EURO,0.050499999999999996,0.6208333333333333
3033490754426,Danette (le Liégeois Café) 4 Pots,EURO,0.030299999999999997,0.5930555555555556
3033490851224,Danette saveur Petit Beurre,EURO,,0.125
3033490873509,Danio,EURO,0.0567,1.0
3033490873523,"Danio Framboise (2,4 % MG)",EURO,0.048,0.29333333333333333
3033490906276,Danette (8 Chocolat - 8 Saveur Vanille),EURO,0.0288,0.5773809523809523
3033490907716,Activia Citron - Jus de Citron Vert (0% MG),EURO,0.0288,0.5317460317460316
3033490946807,Activia Fibre,EURO,0.0338,0.6666666666666667
3033490949709,Danio Mangue (0 % MG),EURO,0.019799999999999998,0.22666666666666666
3033490968120,Danette (le Liégeois Chocolat) 4 pots,EURO,,0.016666666666666663
3033491001765,Le Yaourt sur lit d'agrumes,EURO,,0.019999999999999997
3033491012013,Danette Pop saveur Vanille Billes Choco Caramel Salé,EURO,,0.0625
3033491012020,Danette Pop Chocolat Billes 3 Chocos,EURO,,0.08333333333333333
3033491013072,Star Wars saveur Fraise,EURO,1.6639,0.6770833333333334
3033491018084,Taillefine aux fruits 0% Ananas,EURO,0.0245,0.7666666666666667
3033491027284,Danette (le Liégeois Saveur Pistache) 4 Pots,EURO,0.0305,0.4702380952380953
3033491027680,Danio Vanille,EURO,0.057300000000000004,1.0
3033491066542,Star Wars Vanille,EURO,,0.6666666666666666
3033610021315,Les Recettes de Marie Labeyrie Bloc de Foie Gras de Canard,EURO,0.7987000000000001,0.8318181818181819
3033610037958,2 Tranches Saveur de Bloc de Foie Gras de Canard Halal,EURO,0.7375,0.8636363636363636
3033610038986,Le Raffiné,EURO,0.014199999999999999,0.575
3033610039792,Apéritif Délice de Canard 20% Foie Gras,EURO,0.544,0.8035714285714286
3033710007905,P'tite Boisson Cocktail de fruits,EURO,0.04,0.9416666666666668
3033710020072,Babicao Chocolat,EURO,0.0603,0.5
3033710028283,"Soupe Chinoise (Nouilles, champignons noirs, épices)",EURO,0.2483,0.5215909090909091
3033710050956,Lait concentré sucré,EURO,0.054400000000000004,0.8962962962962964
3033710065066,Nesquik,EURO,0.045899999999999996,1.0
3033710065967,Nesquik,EURO,0.045899999999999996,1.0
3033710076017,Spécial Filtre,EURO,0.34299999999999997,0.9285714285714286
3033710085675,Mousline Tendresse de Lait,EURO,0.1072,1.0
3034910072021,Plateau de 20 tranches de charcuterie,EURO,0.1663,0.6136363636363636
3036811356071,PurSoup' Fèves Pois Cassés,EURO,0.028399999999999998,0.8770833333333333
3036811363277,Soupe à la Campagnarde Lentilles et Saucisse fumée,EURO,0.0392,0.85
3036811363338,Délice d'Automne à la Crème Fraîche,EURO,0.1009,0.3386243386243386
3036811363901,Délice de Courgettes au Chèvre,EURO,0.0285,0.9333333333333333
3036811363925,Pur Soup' Velouté de Champignons,EURO,0.2157,0.6114285714285714
3038350213136,Macaroni (+20% gratuits),EURO,0.19829999999999998,0.512962962962963
3038350330802,"Les 3 Minutes, Serpentini",EURO,0.0336,0.20416666666666666
3038350333001,"Les 3 Minutes, Coquillettes",EURO,0.0368,0.4375
3038350343109,Macaroni Les 3 Minutes (format eco),EURO,0.0406,0.35674603174603176
3038354560908,Riz quinoa courgettes,EURO,0.11800000000000001,0.7666666666666666
3038359000270,Nouilles fines 3 minutes,EURO,0.027200000000000002,0.7142857142857143
3038359001833,Tomacouli Fluide,EURO,0.028399999999999998,0.5
3038359002199,Spaghetti Facile,EURO,0.011899999999999999,0.5
3038359002205,Capellini Facile,EURO,0.011899999999999999,0.6111111111111112
3038359002380,Semoule de Couscous Facile saveur Pesto,EURO,0.0235,0.7559523809523809
3038359003295,"Qualité Pâte Fraîche, Tagliatelle",EURO,0.0368,0.7023809523809523
3038359003356,Banzaï Noodle saveur Poulet,EURO,,0.04999999999999999
3038359003868,Gourmet Spaghetti,EURO,0.1563,0.6666666666666667
3038359003882,Gourmet Torti,EURO,0.1563,0.5
3038359004247,Riz & Céréales Gourmands 10 min,EURO,0.011000000000000001,0.16666666666666666
3038359005350,Pulpe fine de Tomates bio,EURO,0.0231,0.8800000000000001
3038680020046,Coffret plaisir 16 pièces,EURO,,0.39880952380952384
3038680700917,Saumon sauvage,EURO,0.6785,1.0
3039050532244,L'Absolu (kit pour 2 escalopes de porc panées nature),EURO,0.096,0.466931216931217
3040072624206,Lichette ,EURO,0.0253,1.0
3040400220193,Donut,EURO,,0.8333333333333334
3041090003547,Mini Boisson Oranges Pommes,EURO,0.0152,0.5595238095238095
3041090010866,Mon 1er boudoir,EURO,0.1292,0.6111111111111112
3041090012143,Mon 1er Petit Pot Artichaut,EURO,0.042699999999999995,0.8666666666666666
3041090013614,Blédîner Soupe du Soir Douceur Provençale Semoule de Riz,EURO,0.0339,0.6023809523809524
3041090020315,"Blédichef, Mitonné de Carottes et Macaronis au Bœuf",EURO,0.057300000000000004,0.6658234126984127
3041090026331,Jardinière de légumes,EURO,0.0596,0.919047619047619
3041090046124,Pomme Banane,EURO,0.0735,0.8452380952380953
3041090070051,Blédilait Croissance Nature sans sucres ajoutés,EURO,0.0175,0.5429894179894179
3041090526565,Blédichef Mijoté de Légumes Cabillaud et Crème,EURO,0.0596,0.9113378684807255
3041090689307,Blédichef Couscous des tout petits,EURO,0.0993,0.3944444444444445
3041090779695,"Légumes, Riz et Poulet au Curry doux",EURO,0.0588,0.7261904761904762
3041090780165,Pomme Kiwi Ananas,EURO,0.0776,0.8777777777777778
3041090981616,Les Desserts Crème de riz,EURO,0.0438,0.3142857142857143
3041090988400,"Blédichef Petite Ratatouille, Boulghour et Poulet",EURO,0.0738,0.7352693602693603
3041090994104,Mes amis légumes (La Tomate son riz & son cabillaud),EURO,0.08310000000000001,0.4723809523809524
3041090999314,Blédichef Mousseline de légumes et patate douce,EURO,0.0672,0.7290249433106576
3041090999321,"Blédichef Légumes, Pâtes et Cabillaud façon Beurre blanc",EURO,0.0646,0.9048611111111111
3041311026737,Liqueur Triple-Sec,EURO,0.1948,0.8
3041311027635,Manzanita,EURO,0.1027,1.0
3045320104530,préparation citrons pressés,EURO,0.5096,0.22186147186147187
3045320104776,Oranges pressés sans pulpe,EURO,0.0424,0.9375
3046920007726,Creation Coulis de Chocolat,EURO,,0.09999999999999998
3046920007757,Création Rocher Noir,EURO,0.1827,0.9583333333333334
3046920010603,Framboise intense,EURO,0.0731,1.0
3046920025584,Recette Originale Noir Extra Fondant (Format Familial),EURO,0.17329999999999998,0.3058956916099773
3046920026833,A cuisiner Le Lait Extra fondant Notes Caramélisées,EURO,0.139,0.48333333333333334
3046920042642,Creation Les Macarons Vanille,EURO,0.18600000000000003,0.78125
3046920043380,Creation Irish Coffee au Whisky,EURO,0.14,0.6666666666666667
3046920045520,Coulis de chocolat,EURO,,0.06666666666666665
3046920045759,Rocher noir intensément croquant,EURO,0.1469,0.5625
3048282650671,Cake Vandame aux fruits tranché,EURO,0.08470000000000001,0.6571428571428571
3049580540145,1898 Boeuf Bourguignon,EURO,0.13949999999999999,0.6666666666666666
3049580820032,Poule au riz,EURO,0.0392,0.4444444444444445
3051800804951,Multivitamines 12 fruits,EURO,0.02,1.0
3052420321057,Rösti,EURO,0.0625,0.6666666666666667
3056440083995,Minizza tomate,EURO,0.09759999999999999,1.0
3056440085197,Snacky extra-fins,EURO,0.18760000000000002,0.25
3056440086392,Kango,EURO,0.07730000000000001,1.0
3057640430343,Juicy Citronnade,EURO,0.019799999999999998,0.5
3060730000906,Ti'Cubes Oignon surgelé,EURO,0.0438,0.20000000000000004
3060731009830,Bouquet Garni,EURO,0.8222,1.0
3060921450701,"Fromage pour raclette nature (27,5% MG)",EURO,0.1445,0.5992063492063492
3060921454341,Tranchettes Cheddar,EURO,0.1063,1.0
3060921459131,Cantal jeune,EURO,0.10529999999999999,0.6666666666666667
3060921461622,"Mc Cambell Cheddar saveur Intense (35,3% MG)",EURO,0.2495,0.3226190476190475
3061430008315,Salad'bistrot la Campagnarde (Les Crudettes),EURO,0.095,0.433030303030303
3061430009169,Baby Carottes à croquer sauce ciboulette,EURO,0.0955,0.19345238095238096
3061430009275,Baby Carottes,EURO,0.0895,0.9375
3061990141552,Teenage Mutant Ninja Turtles,EURO,,0.25
3061994430003,"Fritelle, Goût Bacon",EURO,0.1063,0.8796296296296297
3067163611921,Foie gras de canard entier du Sud-Ouest à la fleur de sel,EURO,1.5833000000000002,0.7645502645502646
3067163614069,Jambon serrano,EURO,0.2458,1.0
3068111253279,Ma pâte à Pains Burger,EURO,0.11460000000000001,0.27999999999999997
3068111253309,Ma pâte à Tortillas de Maïs,EURO,0.0605,0.39074074074074067
3068111505224,Ma pâte à Choux facile et rapide,EURO,0.0506,0.48214285714285715
3068111512222,Ma pâte à gaufres,EURO,0.04769999999999999,0.28125
3068220101157,12 Mini-Bouchées à garnir,EURO,0.21359999999999998,0.6346153846153846
3068220118001,6 Bouchées à garnir,EURO,0.086,0.71875
3068320110059,Badoit,EURO,0.0055000000000000005,1.0
3068320112688,Eau minérale naturelle gazeuse,EURO,0.0095,0.96875
3068320114835,Evian,EURO,0.0106,1.0
3068320116129,Citron,EURO,0.0349,1.0
3069538102737,Sauce Tomate cuisinée aux légumes,EURO,0.0333,0.7784126984126984
3070053520104,Cancoillotte Nature,EURO,0.0322,0.625
3073190000669,Coquillettes,EURO,0.0079,1.0
3073190000683,Torsettes 3 minutes,EURO,0.024,0.5555555555555557
3073190020742,Spaghetti 3 minutes (pack familial),EURO,0.027200000000000002,0.6761904761904762
3073190102233,Coquillettes aux œufs frais,EURO,0.034,0.5333333333333334
3073780489362,Toastinette Pour Croque Monsieur Nature,EURO,0.058499999999999996,1.0
3073780794626,La Vache qui rit Saveur Jambon (23% MG),EURO,0.132,0.7395833333333333
3073780809061,"Pik & Croq' Gressins nature (x 5) - (16,5 % MG)",EURO,0.0765,0.11363636363636363
3073780897440,La Vache qui rit® Légère (7 % MG) 16 Portions,EURO,0.0793,0.675
3073781043365,Noisettes & 3 Noix - 10 portions,EURO,0.06570000000000001,0.18055555555555555
3073781066616,Basilic & Pignons de Pin,EURO,0.5967,0.24
3073781069259,Ail & Fines Herbes (40 % MG) Format Gourmand,EURO,0.0999,0.1388888888888889
3073781091922,Cheese & crackers Babybel,EURO,0.09570000000000001,0.3125
3073781098020,Le fondant,EURO,0.28550000000000003,0.5
3073781102413,Leerdammer break - crackers,EURO,0.09029999999999999,0.325
3077311532060,Vinaigre d'alcool blanc (8% d'acidité),EURO,0.19,0.3416666666666667
3080216031811,1664 Blanc,EURO,0.026099999999999998,1.0
3080216043937,Twist au jus de citron,EURO,0.0218,0.4
3080920986612,Compote veloutée Pomme Douceur,EURO,0.0521,0.42708333333333337
3083680019408,Haricots verts extra-fins,EURO,0.019299999999999998,0.8333333333333334
3083680085328,Haricots verts extra-fins - 400 g - Cassegrain ,EURO,0.1073,0.46875
3083680482035,Cassegrain Petit Pois,EURO,0.0398,0.9444444444444445
3083680659062,Courgettes cuisinées à la Provençale,EURO,0.1103,0.7577777777777778
3083680904919,Purée Délice Trio vert,EURO,0.0349,0.6583333333333333
3083680972963,Marrons cuisinés à la Forestière,EURO,,0.019999999999999997
3083681027785,Haricots verts extra-fin,EURO,0.019299999999999998,0.8518518518518517
3083681052893,Légumes pour Potage,EURO,0.10949999999999999,0.7301587301587302
3083681054002,Petits pois extra fins,EURO,0.0263,1.0
3083681055269,Taboulé poulet rôti,EURO,0.061,0.8690476190476191
3083681056365,Pommes de Terre Reblochon au Bacon Fumé,EURO,0.0587,0.3333333333333334
3083681062236,"Légumes façon Rösti Julienne de légumes, Pomme de terre à l'Emmental",EURO,0.09970000000000001,0.37683982683982686
3088542004264,Miel et Gelée Royale,EURO,0.1892,0.95
3088865205256,Savane Le Classique Chocolat,EURO,,0.04999999999999999
3090291118574,Extra Fines Classic,EURO,0.0768,0.6666666666666666
3092718605216,Sirop de cerise,EURO,,0.13333333333333333
3092718612641,Concentrée pour machine à soda Orange,EURO,0.006500000000000001,0.4488095238095238
3095750383104,Le Paris (-25% de sel),EURO,0.0158,0.45
3095750386105,Le Paris (- 25 % de Sel),EURO,0.0158,0.32142857142857145
3095751042017,Le Jambon de Paris (- 25 % de Sel) Lot 2 x 4 = 8 Tranches,EURO,0.0906,0.5
3095752194012,Blanc de poulet Halal - 8 tranches fines,EURO,0.1458,0.875
3095753005010,Filet de poulet braisé - 4 tranches épaisses,EURO,0.16829999999999998,0.78125
3095753021010,Rôti de Porc cuit 100% filet,EURO,0.111,0.35833333333333334
3095753234014,Blanc de poulet fumé Halal - 6 tr.,EURO,0.1489,0.6979166666666667
3095753646015,Filet de poulet braisé (4+2 gratuites),EURO,0.025099999999999997,0.325
3095753825014,Le fumé au bois de chêne - 2 tr.,EURO,0.1042,0.7
3095753826011,Le fumé au bois de chêne - 4 tr.,EURO,0.1042,0.7
3095754091012,Le Fumé au Bois de Chêne,EURO,0.1042,0.8416666666666667
3095754747018,Le Jambon de Paris léger (2% M.G),EURO,0.10890000000000001,0.6007936507936508
3095754980019,Le Fumé au Bois de Chêne (lot 2x4 + 2),EURO,0.1042,0.5883333333333333
3095755083016,Le Braisé Doré au Four (lot 2x4 + 2),EURO,0.1042,0.49074074074074076
3095755795100,Filet de poulet (-25% de sel) (4+2 gratuites),EURO,0.0883,0.55
3095756184019,"Le Paris sans gluten, sans céleri - 4 tr.",EURO,0.1757,0.6203703703703703
3095756216017,Le torchon Cuit à l'étouffée - 2tr.,EURO,0.2263,0.6
3095756231010,Le Supérieur cuit à l\'étouffée (6+1 gratuite),EURO,0.1761,0.534992784992785
