code,product_name,store_currency,price_per_100,match_scores
7613269250647,Vegi Caprese,CHF,2.8,1.0
7613269250944,Club Sandwich,CHF,2.166666666666667,1.0
7613269253730,pain tessinois,CHF,1.0263157894736843,0.6111111111111112
7613269259046,ice tea zero,CHF,16.73913043478261,1.0
7613269259503,Gnocchi di patate,CHF,0.6799999999999999,1.0
7613269259527,Gnocchi alla zucca,CHF,0.86,1.0
7613269259930,Chicken Tikkq Masala,CHF,1.95,0.9333333333333332
7613269260028,Dim Sum Sea Treasure,CHF,2.7600000000000002,1.0
7613269260035,Dim Sum Shao Mai,CHF,3.0,1.0
7613269260240,Nasi Goreng au poulet,CHF,0.4,0.59375
7613269260295,Risotto Champignons,CHF,1.3424657534246578,0.6363636363636364
7613269260417,Pesto basilico,CHF,1.9333333333333333,1.0
7613269260448,Sauce Carbonara,CHF,1.5599999999999998,1.0
7613269260721,Orangr Aranica (Orangensaft),CHF,0.08,0.5547785547785548
7613269262206,Pane Rustico,CHF,1.0999999999999999,1.0
7613269263579,Rösti Médaillons,CHF,1.06,0.95
7613269263937,American Favorites Cookie,CHF,3.1428571428571432,0.9523809523809524
7613269263951,Chocolate Muffin,CHF,2.1,1.0
7613269266730,Balsamico Dressing M-Classic,CHF,1.2,0.7407407407407408
7613269266983,Ravioli mozzarella e pomodoro,CHF,1.9600000000000002,0.75
7613269267027,Agnolotti ai funghi,CHF,1.9600000000000002,1.0
7613269267805,Grill ribs,CHF,2.6363636363636362,0.7
7613269268055,French Dressing aux herbes,CHF,0.44285714285714284,1.0
7613269268130,French Dressing,CHF,0.9000000000000001,1.0
7613269270829,Rosettes de brocoli,CHF,4.833333333333333,0.6666666666666666
7613269271833,Anna's best pâtes tricolores et poulet,CHF,1.725,0.6277777777777779
7613269273875,Farmer'S Best Asia,CHF,1.686666666666667,1.0
7613269273899,Ratatouille,CHF,0.4761904761904762,1.0
7613269283331,Zero Ice Tea Lemon,CHF,16.73913043478261,1.0
7613269287506,Taboulé oriental avec légumes,CHF,1.4000000000000001,0.5982142857142857
7613269287667,Lasagne alla bolognese,CHF,0.5,1.0
7613269290025,Nids aux noisettes,CHF,3.4000000000000004,0.7777777777777778
7613269290568,Pesto con basilico genovese,CHF,1.9333333333333333,0.59375
7613269292760,Filets Gourmet à la Provençale MSC Pelican 400g,CHF,1.8000000000000003,0.625
7613269292784,Filets Gourmet à la Provençale MSC,CHF,1.8000000000000003,0.6666666666666666
7613269292845,Filets gourmet à la provençale,CHF,1.8000000000000003,0.6
7613269296423,Spaghetti bolognese,CHF,1.6923076923076925,1.0
7613269296607,Wasabi Nuts,CHF,1.6666666666666667,1.0
7613269296683,Escargots à la bourguignonne,CHF,7.41573033707865,1.0
7613269296751,Tomates easy Soup,CHF,2.3,0.9523809523809524
7613269300441,Mirador,CHF,1.3703703703703705,1.0
7613269300649,Pasta carbonara,CHF,1.6111111111111112,1.0
7613269300724,Creamy,CHF,5.0,1.0
7613269300748,Cheesy,CHF,3.7142857142857144,1.0
7613269300762,Vegetables,CHF,1.875,0.9
7613269300861,Risotto Tomato,CHF,1.48,1.0
7613269301578,Wedges Mexican,CHF,0.75,1.0
7613269315612,Fiori rucola mascarpone,CHF,1.9600000000000002,1.0
7613269315650,Ice Tea Berry & Rhubarb,CHF,0.22,1.0
7613269317371,Cottage Cheese aha!,CHF,1.15,1.0
7613269319900,Farmer Flakes Nature,CHF,0.9199999999999999,1.0
7613269333708,M-Budget Käsescheiben,CHF,0.7972972972972973,1.0
7613269333791,Sugar Corn Flakes,CHF,0.2583333333333333,0.6666666666666666
7613269345190,Quorn würstchen,CHF,2.619047619047619,1.0
7613269346388,Fiori spinacci e ricotta,CHF,2.45,0.71875
7613269351627,Pizza Margherita,CHF,0.28125000000000006,1.0
7613269354703,Leinöl,CHF,,1.0
7613269358046,Crunchy Mix Sport,CHF,3.266666666666667,0.6666666666666666
7613269363897,Crunchy Mix Plus,CHF,0.95,1.0
7613269372097,Salade coleslaw,CHF,1.1,0.5625
7613269372158,Migros Bio Linsensalat,CHF,1.55,0.6666666666666666
7613269375111,Tortellini spinaci alla panna,CHF,1.4000000000000001,0.975
7613269376668,Chocky,CHF,1.16,1.0
7613269381808,Fiori ricotta-épinards,CHF,2.45,0.71875
7613269384380,Energy Drink Choco,CHF,0.46969696969696967,1.0
7613269420200,Bircher Müesli Baies,CHF,0.894736842105263,0.7999999999999999
7613269423188,Cheesecake,CHF,2.0,1.0
7613269458449,Spitzbuben,CHF,1.400966183574879,1.0
7613269460879,Tortellini,CHF,0.9800000000000001,1.0
7613269476412,Falafel ,CHF,2.7222222222222223,1.0
7613269476818,Burger,CHF,2.142857142857143,1.0
7613269478669,Pain protéine,CHF,1.0263157894736843,0.6875
7613269478867,Rice Sandwich Tuna,CHF,2.875,0.6666666666666666
7613269494102,Vegi Saladbowl,CHF,1.8124999999999998,1.0
7613269494430,Passion Joghurt Limette-Thé vert,CHF,0.5555555555555556,0.5892857142857142
7613269499312,Thousand island,CHF,1.2,1.0
7613269500568,Dim Sum Shao Mai,CHF,3.0,1.0
7613269500889,Indian Vegetables,CHF,10.0,0.6
7613269501305,Joghurt Oh! (Erdbeere),CHF,0.9000000000000001,0.6952380952380951
7613269501640,Yogurt Greek Styte Nature,CHF,1.0588235294117647,0.95
7613269501664,Yogurt Greek Style Myrtille-Vanille,CHF,1.0588235294117647,0.796875
7613269501688,Edamame,CHF,2.911392405063291,1.0
7613269501954,Vegi indonesian bami goreng,CHF,0.9666666666666667,0.5625
7613269501992,Penne al pesto verde,CHF,2.9583333333333335,0.6625
7613269502418,Vegi Indian paneer,CHF,1.625,1.0
7613269505785,Mini mozzarella di latte di bufala,CHF,3.0,0.725
7613269508052,Best of Dim Sum,CHF,2.882352941176471,1.0
7613269508472,Shrimp Dim Sum,CHF,3.25,1.0
7613269511212,Hummus Nature,CHF,2.0,1.0
7613269521792,Oh! Yogurt Greek Style Pêche-Maracuja,CHF,1.0882352941176472,0.7294117647058823
7613269524151,Médaillon de chou-fleur ,CHF,8.625,0.6111111111111112
7613269544500,Mini Moelleux au Chocolat,CHF,1.7666666666666668,0.6354166666666666
7613269547020,Wrap Greek,CHF,3.151515151515152,1.0
7613269549918,Flan caramel,CHF,0.4,1.0
7613269550587,Saladbowl Finesse,CHF,1.5599999999999998,0.6111111111111112
7613269551041,Flans chocolat,CHF,0.4,0.9
7613269584568,Croissants,CHF,1.7142857142857144,0.9
7613269592396,Red Thai Curry Tofu,CHF,0.9833333333333335,0.8125
7613269595496,Salade Edamame,CHF,2.911392405063291,0.7142857142857143
7613269595687,SOJA Soyog Fraise,CHF,0.5333333333333334,0.6666666666666666
7613269624103,Yogurt Greek Syle Framboise-Grenade,CHF,1.0882352941176472,0.5941176470588236
7613269643852,Falafel Burger ,CHF,2.6,1.0
7613269644286,Salade Wakame Gomae,CHF,17.0,0.5873015873015873
7613269672555,Sandwich au saumon,CHF,3.5384615384615383,0.7777777777777778
7613269675631,Totelli ai funghi,CHF,1.625,0.7142857142857143
7613269677307,Ravioli di spinaci e mandorle,CHF,1.9600000000000002,0.6785714285714286
7613269679790,Pain Protéine,CHF,1.0263157894736843,0.6875
7613269730477,Oh! Yogurt Greek style,CHF,1.0588235294117647,1.0
7613269738473,Cœurs de France,CHF,1.54,0.6666666666666666
